id,movie_title,rating,year,rank,star_cast,newtitle
1,The Shawshank Redemption,9.234909278,1994,1,Frank Darabont (dir.); Tim Robbins; Morgan Freeman,KGF Chapter 2
2,The Godfather,9.156245815,1972,2,Francis Ford Coppola (dir.); Marlon Brando; Al Pacino,Dangal
3,The Dark Knight,8.988740775,2008,3,Christopher Nolan (dir.); Christian Bale; Heath Ledger,Sanju
4,The Godfather Part II,8.984204235,1974,4,Francis Ford Coppola (dir.); Al Pacino; Robert De Niro,PK
5,12 Angry Men,8.950411064,1957,5,Sidney Lumet (dir.); Henry Fonda; Lee J. Cobb,Tiger Zinda Hai
6,Schindler's List,8.937518026,1993,6,Steven Spielberg (dir.); Liam Neeson; Ralph Fiennes,Bajrangi Bhaijaan
7,The Lord of the Rings: The Return of the King,8.927538515,2003,7,Peter Jackson (dir.); Elijah Wood; Viggo Mortensen,War
8,Pulp Fiction,8.848576771,1994,8,Quentin Tarantino (dir.); John Travolta; Uma Thurman,Padmaavat
9,The Lord of the Rings: The Fellowship of the Ring,8.807800701,2001,9,Peter Jackson (dir.); Elijah Wood; Ian McKellen,Sultan
10, Il buono; il brutto; il cattivo,8.791309559,1966,10,Sergio Leone (dir.); Clint Eastwood; Eli Wallach,Kabir Singh
11,Forrest Gump,8.767629109,1994,11,Robert Zemeckis (dir.); Tom Hanks; Robin Wright,Tanhaji: The Unsung Warrior
12,Fight Club,8.748816324,1999,12,David Fincher (dir.); Brad Pitt; Edward Norton,Dhoom 3
13,Inception,8.73323468,2010,13,Christopher Nolan (dir.); Leonardo DiCaprio; Joseph Gordon-Levitt,RRR
14,The Lord of the Rings: The Two Towers,8.732878234,2002,14,Peter Jackson (dir.); Elijah Wood; Ian McKellen,The Kashmir Files
15,The Empire Strikes Back,8.700027304,1980,15,Irvin Kershner (dir.); Mark Hamill; Harrison Ford,Brahmastra Part One: Shiva
16,The Matrix,8.669798263,1999,16,Lana Wachowski (dir.); Keanu Reeves; Laurence Fishburne,URI The Surgical Strike
17,Goodfellas,8.652047851,1990,17,Martin Scorsese (dir.); Robert De Niro; Ray Liotta,Simmba
18,One Flew Over the Cuckoo's Nest,8.63962185,1975,18,Milos Forman (dir.); Jack Nicholson; Louise Fletcher,Kick
19,Se7en,8.604249647,1995,19,David Fincher (dir.); Morgan Freeman; Brad Pitt,Krrish 3
20,Shichinin no samurai,8.59908872,1954,20,Akira Kurosawa (dir.); Toshir√¥ Mifune; Takashi Shimura,Chennai Express
21,It's a Wonderful Life,8.595611115,1946,21,Frank Capra (dir.); James Stewart; Donna Reed,Bharat
22,The Silence of the Lambs,8.58811871,1991,22,Jonathan Demme (dir.); Jodie Foster; Anthony Hopkins,Housefull 4
23,Cidade de Deus,8.579576524,2002,23,Fernando Meirelles (dir.); Alexandre Rodrigues; Leandro Firmino,Prem Ratan Dhan Payo
24,Saving Private Ryan,8.578590272,1998,24,Steven Spielberg (dir.); Tom Hanks; Matt Damon,Golmaal Again
25,La vita √® bella,8.567321946,1997,25,Roberto Benigni (dir.); Roberto Benigni; Nicoletta Braschi,Good Newwz
26,Interstellar,8.563113819,2014,26,Christopher Nolan (dir.); Matthew McConaughey; Anne Hathaway,Mission Mangal
27,The Green Mile,8.561680627,1999,27,Frank Darabont (dir.); Tom Hanks; Michael Clarke Duncan,3 Idiots
28,Star Wars,8.550972291,1977,28,George Lucas (dir.); Mark Hamill; Harrison Ford,Happy New Year
29,Terminator 2: Judgment Day,8.536055017,1991,29,James Cameron (dir.); Arnold Schwarzenegger; Linda Hamilton,Ek Tha Tiger
30,Back to the Future,8.517634117,1985,30,Robert Zemeckis (dir.); Michael J. Fox; Christopher Lloyd,Sooryavanshi
31,Sen to Chihiro no kamikakushi,8.515997504,2001,31,Hayao Miyazaki (dir.); Daveigh Chase; Suzanne Pleshette,2
32,Psycho,8.508135041,1960,32,Alfred Hitchcock (dir.); Anthony Perkins; Janet Leigh,Yeh Jawaani Hai Deewani
33,The Pianist,8.506179207,2002,33,Roman Polanski (dir.); Adrien Brody; Thomas Kretschmann,Bhool Bhulaiyaa 2
34,Gisaengchung,8.497590569,2019,34,Bong Joon Ho (dir.); Song Kang-ho; Lee Sun-kyun,Bajirao Mastani
35,L√©on,8.496704658,1994,35,Luc Besson (dir.); Jean Reno; Gary Oldman,Bang Bang!
36,The Lion King,8.488307168,1994,36,Roger Allers (dir.); Matthew Broderick; Jeremy Irons,Race 3
37,Gladiator,8.486139843,2000,37,Ridley Scott (dir.); Russell Crowe; Joaquin Phoenix,Baaghi 2
38,American History X,8.483025879,1998,38,Tony Kaye (dir.); Edward Norton; Edward Furlong,Raees
39,The Departed,8.475413003,2006,39,Martin Scorsese (dir.); Leonardo DiCaprio; Matt Damon,Kesari
40,The Usual Suspects,8.472938584,1995,40,Bryan Singer (dir.); Kevin Spacey; Gabriel Byrne,Total Dhamaal
41,The Prestige,8.468730711,2006,41,Christopher Nolan (dir.); Christian Bale; Hugh Jackman,Dabangg 2
42,Whiplash,8.464222906,2014,42,Damien Chazelle (dir.); Miles Teller; J.K. Simmons,Chhichhore
43,Casablanca,8.463494449,1942,43,Michael Curtiz (dir.); Humphrey Bogart; Ingrid Bergman,Tanu Weds Manu Returns
44,The Intouchables,8.453904444,2011,44,Olivier Nakache (dir.); Fran√ßois Cluzet; Omar Sy,Bodyguard
45,Seppuku,8.452632086,1962,45,Masaki Kobayashi (dir.); Tatsuya Nakadai; Akira Ishihama,Dilwale
46,Hotaru no haka,8.452419083,1988,46,Isao Takahata (dir.); Tsutomu Tatsumi; Ayano Shiraishi,Super 30
47,Modern Times,8.448906299,1936,47,Charles Chaplin (dir.); Charles Chaplin; Paulette Goddard,Dabangg 3
48,Once Upon a Time in the West,8.44552271,1968,48,Sergio Leone (dir.); Henry Fonda; Charles Bronson,Saaho
49,Rear Window,8.436544188,1954,49,Alfred Hitchcock (dir.); James Stewart; Grace Kelly,Thugs Of Hindostan
50,Alien,8.434200994,1979,50,Ridley Scott (dir.); Sigourney Weaver; Tom Skerritt,Dream Girl
51,City Lights,8.433931688,1931,51,Charles Chaplin (dir.); Charles Chaplin; Virginia Cherrill,Singham Returns
52,Nuovo Cinema Paradiso,8.432423758,1988,52,Giuseppe Tornatore (dir.); Philippe Noiret; Enzo Cannavale,Dabangg
53,Apocalypse Now,8.424350526,1979,53,Francis Ford Coppola (dir.); Martin Sheen; Marlon Brando,Gully Boy
54,Memento,8.422960787,2000,54,Christopher Nolan (dir.); Guy Pearce; Carrie-Anne Moss,Judwaa 2
55,Raiders of the Lost Ark,8.408738265,1981,55,Steven Spielberg (dir.); Harrison Ford; Karen Allen,Badhaai Ho
56,Django Unchained,8.405738416,2012,56,Quentin Tarantino (dir.); Jamie Foxx; Christoph Waltz,Toilet Ek Prem Katha
57,WALL¬∑E,8.393928318,2008,57,Andrew Stanton (dir.); Ben Burtt; Elissa Knight,Rowdy Rathore
58,The Lives of Others,8.38527004,2006,58,Florian Henckel von Donnersmarck (dir.); Ulrich M√ºhe; Martina Gedeck,M.S. Dhoni: The Untold Story
59,Sunset Blvd,8.381473827,1950,59,Billy Wilder (dir.); William Holden; Gloria Swanson,Gangubai Kathiawadi
60,Paths of Glory,8.372197409,1957,60,Stanley Kubrick (dir.); Kirk Douglas; Ralph Meeker,Stree
61,The Shining,8.366302848,1980,61,Stanley Kubrick (dir.); Jack Nicholson; Shelley Duvall,Airlift
62,The Great Dictator,8.366095732,1940,62,Charles Chaplin (dir.); Charles Chaplin; Paulette Goddard,Rustom
63,Avengers: Infinity War,8.359895493,2018,63,Anthony Russo (dir.); Robert Downey Jr.; Chris Hemsworth,Raazi
64,Witness for the Prosecution,8.35966844,1957,64,Billy Wilder (dir.); Tyrone Power; Marlene Dietrich,Ready
65,Aliens,8.343160502,1986,65,James Cameron (dir.); Sigourney Weaver; Michael Biehn,Jab Tak Hai Jaan
66,American Beauty,8.334267256,1999,66,Sam Mendes (dir.); Kevin Spacey; Annette Bening,Tubelight
67,Spider-Man: Into the Spider-Verse,8.333396745,2018,67,Bob Persichetti (dir.); Shameik Moore; Jake Johnson,Baahubali
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.330856781,1964,68,Stanley Kubrick (dir.); Peter Sellers; George C. Scott,Agneepath
69,The Dark Knight Rises,8.327585021,2012,69,Christopher Nolan (dir.); Christian Bale; Tom Hardy,Badrinath Ki Dulhania
70,Oldeuboi,8.320325322,2003,70,Park Chan-wook (dir.); Choi Min-sik; Yoo Ji-tae,Goliyon Ki Rasleela Ram-Leela
71,Joker,8.316464217,2019,71,Todd Phillips (dir.); Joaquin Phoenix; Robert De Niro,Jai Ho
72,Amadeus,8.315946625,1984,72,Milos Forman (dir.); F. Murray Abraham; Tom Hulce,Jolly LLB 2
73,Inglourious Basterds,8.314337613,2009,73,Quentin Tarantino (dir.); Brad Pitt; Diane Kruger,Avengers End Game
74,Coco,8.314238342,2017,74,Lee Unkrich (dir.); Anthony Gonzalez; Gael Garc√≠a Bernal,Bala
75,Toy Story,8.314107311,1995,75,John Lasseter (dir.); Tom Hanks; Tim Allen,Ra.One
76,Braveheart,8.313872037,1995,76,Mel Gibson (dir.); Mel Gibson; Sophie Marceau,Ghajini
77,Das Boot,8.312272716,1981,77,Wolfgang Petersen (dir.); J√ºrgen Prochnow; Herbert Gr√∂nemeyer,Ae Dil Hai Mushkil
78,Avengers: Endgame,8.303834999,2019,78,Anthony Russo (dir.); Robert Downey Jr.; Chris Evans,Holiday
79,Mononoke-hime,8.303320131,1997,79,Hayao Miyazaki (dir.); Y√¥ji Matsuda; Yuriko Ishida,Barfi!
80,Top Gun: Maverick,8.298814243,2022,80,Joseph Kosinski (dir.); Tom Cruise; Jennifer Connelly,Housefull 2
81,Once Upon a Time in America,8.297636885,1984,81,Sergio Leone (dir.); Robert De Niro; James Woods,Housefull 3
82,Good Will Hunting,8.288853877,1997,82,Gus Van Sant (dir.); Robin Williams; Matt Damon,Gold
83,Kimi no na wa,8.279600169,2016,83,Makoto Shinkai (dir.); Ry√ªnosuke Kamiki; Mone Kamishiraishi,Sonu Ke Titu Ki Sweety
84,Requiem for a Dream,8.275706988,2000,84,Darren Aronofsky (dir.); Ellen Burstyn; Jared Leto,Bhaag Milkha Bhaag
85,Toy Story 3,8.273965544,2010,85,Lee Unkrich (dir.); Tom Hanks; Tim Allen,Don 2: The Chase Continues
86,Singin' in the Rain,8.273765752,1952,86,Stanley Donen (dir.); Gene Kelly; Donald O'Connor,Golmaal 3
87,3 Idiots,8.273364779,2009,87,Rajkumar Hirani (dir.); Aamir Khan; Madhavan,Pushpa: The Rise (Part 1)
88,Tengoku to jigoku,8.269102739,1963,88,Akira Kurosawa (dir.); Toshir√¥ Mifune; Yutaka Sada,ABCD 2
89,Star Wars: Episode VI - Return of the Jedi,8.265683103,1983,89,Richard Marquand (dir.); Mark Hamill; Harrison Ford,Ek Villain
90,2001: A Space Odyssey,8.26377067,1968,90,Stanley Kubrick (dir.); Keir Dullea; Gary Lockwood,Son Of Sardaar
91,Eternal Sunshine of the Spotless Mind,8.263065637,2004,91,Michel Gondry (dir.); Jim Carrey; Kate Winslet,Kaabil
92,Capharna√ºm,8.262096482,2018,92,Nadine Labaki (dir.); Zain Al Rafeea; Yordanos Shiferaw,De De Pyaar De
93,Reservoir Dogs,8.261843983,1992,93,Quentin Tarantino (dir.); Harvey Keitel; Tim Roth,83
94,Jagten,8.256145923,2012,94,Thomas Vinterberg (dir.); Mads Mikkelsen; Thomas Bo Larsen,Bol Bachchan
95,Citizen Kane,8.254659324,1941,95,Orson Welles (dir.); Orson Welles; Joseph Cotten,Raid
96,Lawrence of Arabia,8.253876264,1962,96,David Lean (dir.); Peter O'Toole; Alec Guinness,2 States
97,M - Eine Stadt sucht einen M√∂rder,8.253381043,1931,97,Fritz Lang (dir.); Peter Lorre; Ellen Widmann,Grand Masti
98,Idi i smotri,8.251352567,1985,98,Elem Klimov (dir.); Aleksey Kravchenko; Olga Mironova,Race 2
99,North by Northwest,8.249567459,1959,99,Alfred Hitchcock (dir.); Cary Grant; Eva Marie Saint,Singham
100, Vertigo,8.245998171,1958,100,Alfred Hitchcock (dir.); James Stewart; Kim Novak,Shivaay
101,Le fabuleux destin d'Am√©lie Poulain,8.243697725,2001,101,Jean-Pierre Jeunet (dir.); Audrey Tautou; Mathieu Kassovitz,Batla House
102,A Clockwork Orange,8.242197992,1971,102,Stanley Kubrick (dir.); Malcolm McDowell; Patrick Magee,Zero
103,The Apartment,8.239271294,1960,103,Billy Wilder (dir.); Jack Lemmon; Shirley MacLaine,Welcome Back
104,Double Indemnity,8.238780646,1944,104,Billy Wilder (dir.); Fred MacMurray; Barbara Stanwyck,Baaghi 3
105,Full Metal Jacket,8.238476223,1987,105,Stanley Kubrick (dir.); Matthew Modine; R. Lee Ermey,Baby
106,Ikiru,8.237936848,1952,106,Akira Kurosawa (dir.); Takashi Shimura; Nobuo Kaneko,Manikarnika: The Queen of Jhansi
107,Scarface,8.23507953,1983,107,Brian De Palma (dir.); Al Pacino; Michelle Pfeiffer,Luka Chuppi
108,Hamilton,8.234039822,2020,108,Thomas Kail (dir.); Lin-Manuel Miranda; Phillipa Soo,Raajneeti
109,The Sting,8.22767099,1973,109,George Roy Hill (dir.); Paul Newman; Robert Redford,Talaash
110,To Kill a Mockingbird,8.226817741,1962,110,Robert Mulligan (dir.); Gregory Peck; John Megna,Satyameva Jayate
111,Heat,8.224702458,1995,111,Michael Mann (dir.); Al Pacino; Robert De Niro,Singh Is Bliing
112,Up,8.224497061,2009,112,Pete Docter (dir.); Edward Asner; Jordan Nagai,Zindagi Na Milegi Dobara
113,Incendies,8.223962996,2010,113,Denis Villeneuve (dir.); Lubna Azabal; M√©lissa D√©sormeaux-Poulin,Badla
114,Taxi Driver,8.223685447,1976,114,Martin Scorsese (dir.); Robert De Niro; Jodie Foster,Gabbar is Back
115,Metropolis,8.222115971,1927,115,Fritz Lang (dir.); Brigitte Helm; Alfred Abel,Rab Ne Bana Di Jodi
116,Jodaeiye Nader az Simin,8.221604701,2011,116,Asghar Farhadi (dir.); Payman Maadi; Leila Hatami,Kalank
117,LA Confidential,8.221275096,1997,117,Curtis Hanson (dir.); Kevin Spacey; Russell Crowe,Pati Patni Aur Woh
118,Snatch,8.218517511,2000,118,Guy Ritchie (dir.); Jason Statham; Brad Pitt,JugJugg Jeeyo
119,Die Hard,8.218118861,1988,119,John McTiernan (dir.); Bruce Willis; Alan Rickman,Fan
120,Ladri di biciclette,8.218029175,1948,120,Vittorio De Sica (dir.); Lamberto Maggiorani; Enzo Staiola,My Name Is Khan
121,Indiana Jones and the Last Crusade,8.216896599,1989,121,Steven Spielberg (dir.); Harrison Ford; Sean Connery,Brothers
122,1917,8.211374353,2019,122,Sam Mendes (dir.); Dean-Charles Chapman; George MacKay,Padman
123,Taare Zameen Par,8.211313016,2007,123,Aamir Khan (dir.); Darsheel Safary; Aamir Khan,Oh My God
124,Der Untergang,8.203704741,2004,124,Oliver Hirschbiegel (dir.); Bruno Ganz; Alexandra Maria Lara,Veere Di Wedding
125,Per qualche dollaro in pi√π,8.20162341,1965,125,Sergio Leone (dir.); Clint Eastwood; Lee Van Cleef,Sairat
126,Batman Begins,8.199681174,2005,126,Christopher Nolan (dir.); Christian Bale; Michael Caine,Dhoom 2
127,Dangal,8.199308803,2016,127,Nitesh Tiwari (dir.); Aamir Khan; Sakshi Tanwar,Kantara
128,The Kid,8.193468706,1921,128,Charles Chaplin (dir.); Charles Chaplin; Edna Purviance,Fukrey Returns
129,Some Like It Hot,8.191808047,1959,129,Billy Wilder (dir.); Marilyn Monroe; Tony Curtis,The Dirty Picture
130,The Father,8.180867613,2020,130,Florian Zeller (dir.); Anthony Hopkins; Olivia Colman,Piku
131,All About Eve,8.180513446,1950,131,Joseph L. Mankiewicz (dir.); Bette Davis; Anne Baxter,Sui Dhaaga - Made In India
