id,movie_title,rating,year,rank,star_cast,newtitle
,,,,,,Phata Poster Nikla Hero
,,,,,,Thank God
,,,,,,Fukrey
,,,,,,Mastizaade
,,,,,,Bunty Aur Babli
,,,,,,Tumhari Sulu
,,,,,,Bullett Raja
,,,,,,Ramaiya Vastavaiya
,,,,,,Ghayal Once Again
,,,,,,Force 2
,,,,,,Mardaani
,,,,,,Finding Fanny
,,,,,,Runway 34
,,,,,,Vicky Donor
,,,,,,Badmaash Company
,,,,,,Chhapaak
,,,,,,Dil To Pagal Hai
,,,,,,English Vinglish
,,,,,,Judgementall Hai Kya
,,,,,,Hamari Adhuri Kahani
,,,,,,Lagaan: Once Upon a Time in India
,,,,,,Bareilly Ki Barfi
,,,,,,Sarkar Raj
,,,,,,Yamla Pagla Deewana 2
,,,,,,Panipat
,,,,,,Hero
,,,,,,Bell Bottom
,,,,,,Azhar
,,,,,,Kill Dil
,,,,,,Dhamaal
,,,,,,Kahaani 2
,,,,,,Ladies vs Ricky Bahl
,,,,,,Munna Michael
,,,,,,Ghanchakkar
,,,,,,Jai Gangaajal
,,,,,,Rascals
,,,,,,Jolly LLB
,,,,,,NH10
,,,,,,Soorma
,,,,,,Commando 3
,,,,,,Dhoom
,,,,,,Karthikeya 2
,,,,,,Baar Baar Dekho
,,,,,,Vivah
,,,,,,Patiala House
,,,,,,Bhoot Part One
,,,,,,Jab We Met
,,,,,,Highway
,,,,,,Thappad
,,,,,,Talvar
,,,,,,Delhi-6
,,,,,,Raaz Reboot
,,,,,,Peepli Live
,,,,,,Paa
,,,,,,Jism 2
,,,,,,Ittefaq
,,,,,,Dum Laga Ke Haisha
,,,,,,Jannat
,,,,,,Thor: Love And Thunder
,,,,,,Golmaal: Fun Unlimited
,,,,,,Mausam
,,,,,,Shootout at Lokhandwala
,,,,,,Tashan
,,,,,,Chandni Chowk to China
,,,,,,Mujhse Shaadi Karogi
,,,,,,Guzaarish
,,,,,,Action Replayy
,,,,,,Garam Masala
,,,,,,Lootera
,,,,,,Dil Toh Baccha Hai Ji
,,,,,,Ferrari Ki Sawaari
,,,,,,Happy Bhaag Jayegi
,,,,,,Akira
,,,,,,Pari
,,,,,,Players
,,,,,,London Dreams
,,,,,,PM Narendra Modi
,,,,,,Doctor Strange In The Multiverse Of Madness
,,,,,,Ishqiya
,,,,,,Baazaar
,,,,,,Kyaa Kool Hain Hum 3
,,,,,,Doctor G
,,,,,,No Problem
,,,,,,Manmarziyaan
,,,,,,Wake Up Sid
,,,,,,No One Killed Jessica
,,,,,,Mangal Pandey: The Rising
,,,,,,Sanam Re
,,,,,,Panga
,,,,,,Dedh Ishqiya
,,,,,,Sarbjit
,,,,,,Force
,,,,,,Jawaani Jaaneman
,,,,,,Jhoom Barabar Jhoom
,,,,,,Hate Story 2
,,,,,,Detective Byomkesh Bakshy
,,,,,,Tadap
,,,,,,Malamaal Weekly
,,,,,,Raja Natwarlal
,,,,,,Singh Saab The Great
,,,,,,Ek Paheli Leela
,,,,,,Fashion
,,,,,,The Hero: Love Story of a Spy
,,,,,,Salaam Namaste
,,,,,,Khakee
,,,,,,Karan Arjun
,,,,,,Karthik Calling Karthik
,,,,,,Raabta
,,,,,,Dhobi Ghat
,,,,,,Biwi No.1
,,,,,,Maine Pyaar Kyun Kiya?
,,,,,,Ek Thi Daayan
,,,,,,Teri Meri Kahaani
,,,,,,Haunted 3D 2011
,,,,,,F.A.L.T.U
,,,,,,Raaz-The Mystery Continues 2009
,,,,,,Daawat-E-Ishq
,,,,,,Jazbaa
,,,,,,Rock On!!
,,,,,,Commando 2
,,,,,,Rocky Handsome
,,,,,,Gangs of Wasseypur
,,,,,,Go Goa Gone
,,,,,,Jaan-E-Mann
,,,,,,Ishq
,,,,,,Junglee
,,,,,,Hum Dil De Chuke Sanam
,,,,,,Sarkar
,,,,,,Katti Batti
,,,,,,Mr. X
,,,,,,Khoobsurat
,,,,,,Indian
,,,,,,Enthiran
,,,,,,D Day
,,,,,,Bombay Velvet
,,,,,,Saand Ki Aankh
,,,,,,Bhoothnath
,,,,,,OK Jaanu
,,,,,,Lakshya
,,,,,,Dil Bole Hadippa!
,,,,,,Thackeray
,,,,,,Dus
,,,,,,Omkara
,,,,,,Black
,,,,,,Munna Bhai M.B.B.S.
,,,,,,Ponniyin Selvan - Part 1
,,,,,,36 China Town
,,,,,,Mission Kashmir
,,,,,,Salaam-e-Ishq: A Tribute to Love
,,,,,,Pardes
,,,,,,Billu
,,,,,,Kismat Konnection
,,,,,,1920 - Evil Returns
,,,,,,Mere Baap Pehle Aap
,,,,,,Joker
,,,,,,Murder 3
,,,,,,Ek Ladki Ko Dekha Toh Aisa Laga
,,,,,,Chandigarh Kare Aashiqui
,,,,,,Saawariya
,,,,,,Shamitabh
,,,,,,Hate Story 4
,,,,,,Taal
,,,,,,Aurangzeb
,,,,,,Rocketry: The Nambi Effect
,,,,,,Happy Phirr Bhag Jayegi
,,,,,,Roohi
,,,,,,Apne
,,,,,,Black Adam
,,,,,,Jurassic World: Dominion
,,,,,,Gangs Of Wasseypur 2
,,,,,,"Saheb, Biwi Aur Gangster Returns"
,,,,,,Nautanki Saala
,,,,,,Pyaar To Hona Hi Tha
,,,,,,Heropanti 2
,,,,,,Hum Tum
,,,,,,Raaz
,,,,,,Soldier
,,,,,,Commando-A One Man Army
,,,,,,Mulk
,,,,,,Baghban
,,,,,,Luck
,,,,,,Rangoon
,,,,,,Uunchai
,,,,,,U Me Aur Hum
,,,,,,A Gentleman
,,,,,,Newton
,,,,,,Jersey
,,,,,,Life Partner
,,,,,,Blackmail
,,,,,,Rangeela
,,,,,,Karwaan
,,,,,,The Ghazi Attack
,,,,,,Dil Chahta Hai
,,,,,,Rocket Singh: Salesman of the Year
,,,,,,Kaante
,,,,,,Masti
,,,,,,Waqt: The Race Against Time
,,,,,,The Accidental Prime Minister
,,,,,,The Sky Is Pink
,,,,,,Kidnap
,,,,,,Raja
,,,,,,The Lunchbox
,,,,,,Sunday
,,,,,,Hulchul
,,,,,,Tere Naal Love Ho Gaya
,,,,,,Badhaai Do
,,,,,,Taxi No. 9211
,,,,,,Krazzy 4
,,,,,,Chance Pe Dance
,,,,,,Agni Sakshi
,,,,,,Radhe Shyam
,,,,,,Ungli
,,,,,,Fitoor
,,,,,,Chalte Chalte
,,,,,,Alone
,,,,,,Lipstick Under My Burkha
,,,,,,Te3n
,,,,,,Dolly Ki Doli
,,,,,,Bade Miyan Chote Miyan
,,,,,,Barsaat
,,,,,,Kaal
,,,,,,Dulhan Hum Le Jayenge
,,,,,,Jabariya Jodi
,,,,,,Hum Kisise Kum Nahin
,,,,,,Sarfarosh
,,,,,,Jodi No.1
,,,,,,Liger
,,,,,,Black Panther: Wakanda Forever
,,,,,,Chori Chori Chupke Chupke
,,,,,,Madaari
,,,,,,Ziddi
,,,,,,Bluffmaster!
,,,,,,Gupt: The Hidden Truth
,,,,,,Pyaar Kiya To Darna Kya
,,,,,,Jayeshbhai Jordaar
,,,,,,Begum Jaan
,,,,,,Josh
,,,,,,Fool n Final
,,,,,,Main Prem Ki Diwani Hoon
,,,,,,Creature
,,,,,,Break Ke Baad
,,,,,,Aankhen
,,,,,,7 Khoon Maaf
,,,,,,Qayamat: City Under Threat
,,,,,,Attack - Part 1
,,,,,,Laaga Chunari Mein Daag
,,,,,,Simran
,,,,,,Baabul
,,,,,,Mujhe Kucch Kehna Hai
,,,,,,Cheeni Kum
,,,,,,Band Baaja Baaraat
,,,,,,Ajnabee
,,,,,,Aiyaary
,,,,,,Refugee
,,,,,,Bombay Talkies
,,,,,,Hero No. 1
,,,,,,Section 375
,,,,,,Bewafaa
,,,,,,Hum Aapke Dil Mein Rehte Hain
,,,,,,Qarib Qarib Singlle
,,,,,,Yuvvraaj
,,,,,,Do Knot Disturb
,,,,,,Parineeta
,,,,,,Mumbai Saga
,,,,,,Jeet
,,,,,,Humraaz
,,,,,,The Tashkent Files
,,,,,,Awara Paagal Deewana
,,,,,,Kachche Dhaage
,,,,,,Swades
,,,,,,1921
,,,,,,Andaaz
,,,,,,All Is Well
,,,,,,Dhol
,,,,,,Zilla Ghaziabad
,,,,,,Lajja
,,,,,,Life in a Metro
,,,,,,Aitraaz
,,,,,,Kyaa Kool Hai Hum
,,,,,,Sholay
,,,,,,1920 London
,,,,,,8 x 10 Tasveer
,,,,,,Apaharan
,,,,,,Tezz
,,,,,,Har Dil Jo Pyar Karega
,,,,,,Badal
,,,,,,Deewane Huye Paagal
,,,,,,Tere Naam
,,,,,,Dev.D
,,,,,,Saathiya
,,,,,,Ghatak
,,,,,,Mela
,,,,,,Zanjeer
,,,,,,Haseena Maan Jaayegi
,,,,,,Saala Khadoos
,,,,,,Murder
,,,,,,Baadshah
,,,,,,Koyla
,,,,,,Jhund
,,,,,,Freaky Ali
,,,,,,Hamara Dil Aapke Paas Hai
,,,,,,Fiza
,,,,,,Gulaab Gang
,,,,,,Khiladiyon Ka Khiladi
,,,,,,Maine Pyar Kiya
,,,,,,Bhoot
,,,,,,Apna Sapna Money Money
,,,,,,Humko Deewana Kar Gaye
,,,,,,Satyameva Jayate 2
,,,,,,Yuva
,,,,,,Satya
,,,,,,Teraa Surroor
,,,,,,Dhadkan
,,,,,,Hindustan Ki Kasam
,,,,,,Bewakoofiyaan
,,,,,,Judaai
,,,,,,Bandit Queen
,,,,,,Hum Tumhare Hain Sanam
,,,,,,Khamoshiyan: Silences Have Secrets
,,,,,,Dhan Dhana Dhan Goal
,,,,,,Great Grand Masti
,,,,,,Saajan Chale Sasural
,,,,,,Company
,,,,,,Chup Chup Ke
,,,,,,Aankhen
,,,,,,Deewana Mastana
,,,,,,Hunterrr
,,,,,,Hate Story
,,,,,,Babumoshai Bandookbaaz
,,,,,,Ghulam
,,,,,,India's Most Wanted
,,,,,,Bbuddah...Hoga Terra Baap
,,,,,,Maa Tujhhe Salaam
,,,,,,Judwaa
,,,,,,Paheli
,,,,,,Shaadi Mein Zaroor Aana
,,,,,,Major Saab
,,,,,,Major
,,,,,,Ujda Chaman
,,,,,,Khuda Haafiz Chapter II
,,,,,,Phone Bhoot
,,,,,,Mujhse Dosti Karoge!
,,,,,,China Gate
,,,,,,Halla Bol
,,,,,,Dulhe Raja
,,,,,,Kyon Ki
,,,,,,Gangster
,,,,,,Coolie No. 1
,,,,,,Manjhi - The Mountain Man
,,,,,,God Tussi Great Ho
,,,,,,Heroes
,,,,,,Hungama
,,,,,,Hera Pheri
,,,,,,Made In China
,,,,,,Mere Dad Ki Maruti
,,,,,,Kya Kehna
,,,,,,Mohra
,,,,,,Khalnayak
,,,,,,Bandhan
,,,,,,Bunty Aur Babli 2
,,,,,,Paan Singh Tomar
,,,,,,Yamla Pagla Deewana Phir Se
,,,,,,Fanney Khan
,,,,,,Pyare Mohan
,,,,,,Chup
,,,,,,Ek Aur Ek Gyarah
,,,,,,Ab Tumhare Hawale Watan Saathiyo
,,,,,,Bobby Jasoos
,,,,,,Chal Mere Bhai
,,,,,,Beta
,,,,,,A Wednesday!
,,,,,,Loveyatri
,,,,,,Asoka
,,,,,,Arjun Pandit
,,,,,,Deewangee
,,,,,,Vaastav: The Reality
,,,,,,Chachi 420
,,,,,,Poster Boys
,,,,,,Daag: The Fire
,,,,,,Virasat
,,,,,,Lucknow Central
,,,,,,Yes Boss
,,,,,,Hadh Kar Di Aapne
,,,,,,Vikrant Rona
,,,,,,Sye Raa Narasimha Reddy
,,,,,,Kurukshetra
,,,,,,Why Cheat India
,,,,,,Darr
,,,,,,Zameen
,,,,,,Jaani Dushman: Ek Anokhi Kahani
,,,,,,Jhootha Hi Sahi
,,,,,,Table No. 21
,,,,,,Guest iin London
,,,,,,Jaanwar
,,,,,,Dil Se..
,,,,,,Kunwara
,,,,,,Phir Bhi Dil Hai Hindustani
,,,,,,Nayak: The Real Hero
,,,,,,Tumko Na Bhool Paayenge
,,,,,,Rock On 2
,,,,,,Bichhoo
,,,,,,Hello Brother
,,,,,,Mirzya
,,,,,,Gangaajal
,,,,,,Wajah Tum Ho
,,,,,,Albela
,,,,,,Mukkabaaz
,,,,,,Bhoomi (film)
,,,,,,1920
,,,,,,Paltan
,,,,,,Revolver Rani
,,,,,,Bheja Fry 2
,,,,,,Vikram
,,,,,,Firangi
,,,,,,Angrezi Medium
,,,,,,Saheb Biwi Aur Gangster
,,,,,,Tumbbad
,,,,,,Pataakha
,,,,,,Anari No.1
,,,,,,Hogi Pyaar Ki Jeet
,,,,,,Shaadi Se Pehle
,,,,,,Fida
,,,,,,Tera Jadoo Chal Gayaa
,,,,,,Ragini MMS
,,,,,,Love Sex aur Dhokha
,,,,,,Jaan
,,,,,,Phoonk
,,,,,,Welcome to Sajjanpur
,,,,,,Sabse Bada Khiladi
,,,,,,Saajan
,,,,,,Aap Mujhe Achche Lagne Lage
,,,,,,Mr. and Mrs. Khiladi
,,,,,,Aan: Men at Work
,,,,,,Aksar 2
,,,,,,Krantiveer
,,,,,,Sanam Teri Kasam
,,,,,,Diljale
,,,,,,Ajay
,,,,,,Anek
,,,,,,Julie
,,,,,,Namaste England
,,,,,,Pyar ka Punchnama
,,,,,,Pal Pal Dil Ke Paas
,,,,,,Drona
,,,,,,Haan Maine Bhi Pyaar Kiya
,,,,,,Bhai
,,,,,,International Khiladi
,,,,,,HIT ñ The First Case
,,,,,,Dil Kya Kare
,,,,,,Banjo
,,,,,,Bheja Fry
,,,,,,Tujhe Meri Kasam
,,,,,,Arjun Patiala
,,,,,,Guddu Rangeela
,,,,,,Dosti: Friends Forever
,,,,,,Luv Shuv Tey Chicken Khurana
,,,,,,Ghayal
,,,,,,Saudagar
,,,,,,Godfather
,,,,,,Ram Jaane 1995
,,,,,,Trimurti
,,,,,,Khoobsurat
,,,,,,Aksar
,,,,,,Dhaai Akshar Prem Ke
,,,,,,Shikara
,,,,,,Rashtra Kavach: OM
,,,,,,Sita Ramam
,,,,,,B.A. Pass
,,,,,,Mere Yaar Ki Shaadi Hai
,,,,,,Welcome 2 Karachi
,,,,,,Daddy
,,,,,,Mard
,,,,,,Raja Babu
,,,,,,Haseena Parkar
,,,,,,Jism
,,,,,,Tango Charlie
,,,,,,Main Khiladi Tu Anari
,,,,,,Talaash: The Hunt Begins...
,,,,,,Ram Gopal Varma Ki Aag
,,,,,,Kyo Kii Main Jhuth Nahin Bolta
,,,,,,Eternals
,,,,,,Ishq Vishk
,,,,,,Yeh Raaste Hain Pyaar Ke
,,,,,,Prem Granth
,,,,,,Tere Mere Sapne
,,,,,,Dus Kahaniyaan
,,,,,,Kaalakaandi
,,,,,,One Two Three
,,,,,,Kya Yehi Pyaar Hai
,,,,,,777 Charlie
,,,,,,Joru Ka Ghulam
,,,,,,Jis Desh Mein Ganga Rehta Hain
,,,,,,Road
,,,,,,Bank Chor
,,,,,,The Legend of Bhagat Singh
,,,,,,Baazigar
,,,,,,Main Aurr Mrs Khanna
,,,,,,Zeher
,,,,,,Deewana
,,,,,,Amar Akbar Anthony
,,,,,,Godzilla vs. Kong
,,,,,,Shang-Chi and the Legend of the Ten Rings
,,,,,,Aap Ki Khatir
,,,,,,Raman Raghav 2.0
,,,,,,Jaal: The Trap
,,,,,,Dil
,,,,,,Knock Out
,,,,,,Laadla
,,,,,,Kalyug
,,,,,,Chocolate
,,,,,,Akele Hum Akele Tum
,,,,,,Suhaag
,,,,,,Khamoshi: The Musical
,,,,,,Venom: Let There Be Carnage
,,,,,,Goodbye
,,,,,,Prassthanam
,,,,,,Sapoot
,,,,,,Jeena Sirf Merre Liye
,,,,,,Deewane
,,,,,,Armaan
,,,,,,Dil Ne Jise Apna Kahaa
,,,,,,Sonchiriya
,,,,,,Kahin Pyaar Na Ho Jaaye
,,,,,,Sooryavansham
,,,,,,Bhaiaji Superhit
,,,,,,Daraar
,,,,,,Army
,,,,,,Vijaypath
,,,,,,Blank
,,,,,,Chef
,,,,,,Calendar Girls
,,,,,,Dilwale
,,,,,,Maharaja
,,,,,,Tezaab
,,,,,,Haqeeqat
,,,,,,Damini ñ Lightning
,,,,,,Phool Aur Kaante
,,,,,,Sadak
,,,,,,Yeh Dil Aashiqanaa
,,,,,,Pyaar Impossible!
,,,,,,Genius
,,,,,,Sangharsh
,,,,,,Jung
,,,,,,Rudraksh
,,,,,,Khiladi 420
,,,,,,Do Lafzon Ki Kahani
,,,,,,Vaah! Life Ho Toh Aisi!
,,,,,,Hulchul
,,,,,,Insaniyat
,,,,,,Anari
,,,,,,Aarzoo
,,,,,,Noor
,,,,,,Stanley Ka Dabba
,,,,,,Masoom
,,,,,,Yeh Dillagi
,,,,,,Aflatoon
,,,,,,Bobby
,,,,,,Mr. India
,,,,,,Mughal-e-Azam
,,,,,,Dil Ka Rishta
,,,,,,Rehnaa Hai Terre Dil Mein
,,,,,,Bewafa Sanam
,,,,,,Yeh Hai Jalwa
,,,,,,Sirf Tum
,,,,,,Khichdi: The Movie
,,,,,,Bangistan
,,,,,,Style
,,,,,,Aunty No. 1
,,,,,,Hum Hain Rahi Pyar Ke
,,,,,,Roti Kapda Aur Makaan
,,,,,,Lahu Ke Do Rang
,,,,,,Andaz Apna Apna
,,,,,,Kyaa Dil Ne Kahaa
,,,,,,Ravan Raaj: A True Story
,,,,,,Baazi
,,,,,,Notebook
,,,,,,Indu Sarkar
,,,,,,Game Over
,,,,,,Nil Battey Sannata
,,,,,,The Zoya Factor
,,,,,,Dobaaraa
,,,,,,Zamana Deewana
,,,,,,Elaan
,,,,,,Tutak Tutak Tutiya
,,,,,,Helicopter Eela
,,,,,,Bol Radha Bol
,,,,,,Tum Bin 2
,,,,,,Khuddar
,,,,,,Tum Bin - Love Will Find a Way
,,,,,,Taarzan: The Wonder Car
,,,,,,Junooniyat
,,,,,,Khiladi
,,,,,,Mother India
,,,,,,Sanam Bewafa
,,,,,,Chandni Bar
,,,,,,Maidan-E-Jung
,,,,,,Dil Hai Ke Manta Nahin
,,,,,,Dhaakad
,,,,,,Nanu Ki Jaanu
,,,,,,Jo Jeeta Wohi Sikander
,,,,,,No Time To Die
,,,,,,Sangam
,,,,,,Zamane Se Kya Darna
,,,,,,Kaanchi...
,,,,,,Janhit Mein Jaari
,,,,,,Kabhi Haan Kabhi Naa
,,,,,,Traffic
,,,,,,Darbar
,,,,,,Insaaf
,,,,,,Jayantabhai Ki Luv Story
,,,,,,Mitron
,,,,,,Don
,,,,,,Fareb
,,,,,,Masaan
,,,,,,Gunga Jumna
,,,,,,Haathi Mere Saathi
,,,,,,Suraj Pe Mangal Bhari
,,,,,,Aashiqui
,,,,,,Dhokha: Round D Corner
,,,,,,Jalebi
,,,,,,Disco Dancer
,,,,,,Seeta Aur Geeta
,,,,,,Chehre
,,,,,,Laal Kaptaan
,,,,,,Udaan
,,,,,,Kuch Kuch Locha Hai
,,,,,,Kaafila
,,,,,,Buddha Mar Gaya
,,,,,,One Night Stand
,,,,,,Zaalim
,,,,,,Chori Chori
,,,,,,Pihu
,,,,,,Zanjeer
,,,,,,Waqt
,,,,,,The Batman
,,,,,,Hum Hain Bemisaal
,,,,,,Mere Mehboob
,,,,,,Angaaray
,,,,,,Qayamat Se Qayamat Tak
,,,,,,Waiting
,,,,,,Mili
,,,,,,Malaal
,,,,,,Laila Majnu
,,,,,,Manto
,,,,,,Phool Aur Paththar
,,,,,,The Body
,,,,,,Master
,,,,,,Aggar
,,,,,,Jai Kishen
,,,,,,Phobia
,,,,,,Mard Ko Dard Nahi Hota
,,,,,,Aligarh
,,,,,,Bhangra Paa Le
,,,,,,Fantastic Beasts: The Secrets of Dumbledore
,,,,,,Uncharted
,,,,,,Pailwaan
,,,,,,Mere Jeevan Saathi
,,,,,,Shabaash Mithu
,,,,,,Jai Mummy Di
,,,,,,Love Sonia
,,,,,,Top Gun: Maverick
,,,,,,Nikamma
,,,,,,Saugandh
,,,,,,Akaash Vani
,,,,,,FryDay
,,,,,,Shree 420
,,,,,,Tera Intezaar
,,,,,,Madhumati
,,,,,,Oh Darling! Yeh Hai India
,,,,,,Behen Hogi Teri
,,,,,,Petta
,,,,,,Waqt Hamara Hai
,,,,,,3 Storeys
,,,,,,Thalaivii
,,,,,,Motichoor Chaknachoor
,,,,,,Valimai
,,,,,,5 Weddings
,,,,,,Maatr
,,,,,,Chalk N Duster
,,,,,,Kaamyaab
,,,,,,Khiladi
,,,,,,Indoo Ki Jawani
,,,,,,Saas Bahu Aur Sensex
,,,,,,Ramprasad Ki Tehrvi
,,,,,,Patel Ki Punjabi Shaddi
,,,,,,Awaara
,,,,,,Ranbhoomi
,,,,,,Isi Ka Naam Zindagi
,,,,,,Photograph
,,,,,,Aan
,,,,,,Nagin
,,,,,,Bees Saal Baad
